Fecha/Hora,Timestamp (s),Luces (Wh),A/C (Wh),Riego (Wh),Puerta (Wh),Ascensor (Wh),Total (Wh)
2025-11-17 1:31:16,10,0.0000,0.0000,0.0000,0.0000,0.2778,0.2778
2025-11-17 1:31:27,20,0.0252,0.0000,0.0000,0.0000,0.2778,0.3030
2025-11-17 1:31:37,31,0.0069,0.0000,0.0000,0.0000,0.2778,0.2847
2025-11-17 1:31:47,41,0.0103,0.0000,0.0000,0.0000,0.2778,0.2881
2025-11-17 1:31:57,51,0.0247,0.0000,0.0000,0.0000,0.0000,0.0247
2025-11-17 1:32:08,62,0.0085,0.0000,0.0000,0.0000,0.2778,0.2863
2025-11-17 1:32:18,72,0.0086,0.0000,0.0000,0.0000,0.2778,0.2864
2025-11-17 1:32:28,82,0.0085,0.0000,0.0000,0.0000,0.2778,0.2863
2025-11-17 1:32:38,92,0.0085,0.0000,0.0000,0.0000,0.2778,0.2863
2025-11-17 1:32:48,102,0.0085,0.0000,0.0000,0.0000,0.2778,0.2863
2025-11-17 1:32:59,113,0.0017,0.0000,0.0000,0.0000,0.2778,0.2794
2025-11-17 1:33:12,126,0.0410,0.0000,0.0000,0.0000,0.0000,0.0410
2025-11-17 1:33:23,137,0.0085,0.0000,0.0000,0.0000,0.0000,0.0085
2025-11-17 1:33:33,147,0.0085,0.0000,0.0000,0.9029,0.2778,1.1892
2025-11-17 1:33:44,158,0.0085,0.0000,0.0000,0.0000,0.2778,0.2863
2025-11-17 1:33:54,168,0.0034,0.0000,0.0000,0.0000,0.2778,0.2812
2025-11-17 1:34:04,178,0.0299,0.0000,0.0000,0.0794,0.2778,0.3871
2025-11-17 1:34:15,189,0.0085,0.0000,0.0000,0.0000,0.2778,0.2863
2025-11-17 1:34:26,199,0.0000,0.0000,0.0000,0.0000,0.2778,0.2778
2025-11-17 1:34:36,209,0.0085,0.0000,0.0000,0.0000,0.2778,0.2863
2025-11-17 1:34:46,219,0.0085,0.0000,0.0000,0.0000,0.2778,0.2863
2025-11-17 1:34:56,230,0.0085,0.0000,0.0000,0.0000,0.2778,0.2863
2025-11-17 1:35:06,240,0.0085,0.0000,0.0000,0.0000,0.2778,0.2863
2025-11-17 1:35:22,256,0.0000,0.0000,0.0000,0.0000,0.2778,0.2778
2025-11-17 1:35:33,266,0.0085,0.0000,0.0000,0.0000,0.0000,0.0085
2025-11-17 1:35:42,277,0.0017,0.0000,0.0000,0.0000,0.0000,0.0017
2025-11-17 1:35:53,287,0.0291,0.0000,0.0000,0.1158,0.0000,0.1449
2025-11-17 1:36:04,298,0.0000,0.0000,0.0000,0.0000,0.2778,0.2778
2025-11-17 1:36:14,308,0.0052,0.0000,0.0000,0.0000,0.2778,0.2830
2025-11-17 1:36:24,318,0.0176,0.0000,0.0000,0.0474,0.0000,0.0650
2025-11-17 1:36:36,328,0.0085,0.0000,0.0000,0.0000,0.2778,0.2863
2025-11-17 1:36:44,338,0.0085,0.0000,0.0000,0.0000,0.0000,0.0085
2025-11-17 1:36:55,348,0.0085,0.0000,0.0000,0.0000,0.2778,0.2863
2025-11-17 1:37:04,358,0.0085,0.0000,0.0000,0.0000,0.2778,0.2863
2025-11-17 1:37:15,369,0.0000,0.0000,0.0000,0.0000,0.2778,0.2778
2025-11-17 1:37:26,379,0.0085,0.0000,0.0000,0.0000,0.2778,0.2863
2025-11-17 1:37:36,390,0.0085,0.0000,0.0000,0.0000,0.2778,0.2863
2025-11-17 1:37:47,400,0.0000,0.0000,0.0000,0.0000,0.2778,0.2778
2025-11-17 1:37:56,410,0.0085,0.0000,0.0000,0.0000,0.0000,0.0085
2025-11-17 1:38:07,421,0.0000,0.0000,0.0000,0.0000,0.2778,0.2778
